STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,500 MG,GELULE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"71,50","44,70","42,56",22,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"51,40","32,10","30,59",23,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"90,40","56,50","53,83",24,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250 MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"31,40","19,60","18,72",25,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,250 MG,SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"21,90","13,70","13,05",26,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"32,30","20,20","19,24",27,
AMM ENREGISTREE,Commercialisé / AO,BIOMOX,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"56,90","35,50","33,86",28,
AMM ENREGISTREE,Commercialisé,BROMAX,"15 MG / 5 ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,"27,10","16,90","16,13",29,
AMM ENREGISTREE,Commercialisé,BROMAX,"30 MG / 5 ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,"30,80","19,30","18,36",30,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,"84,60","52,90","50,36",31,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,"123,80","77,40","73,69",32,
AMM ENREGISTREE,Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,"139,20","87,00","82,88",33,
AMM ENREGISTREE,Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMOLOGIE,AFRIC PHAR,"234,00","146,20","139,29",34,
AMM ENREGISTREE,Commercialisé / AO,BUDENA,64 µG / DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,"67,90","42,40","40,41",35,
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"51,40","32,10","30,60",36,
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"90,50","56,50","53,85",37,
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"74,80","46,70","44,50",38,
AMM ENREGISTREE,Commercialisé,CATEX,500 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"131,60","82,20","78,32",39,
AMM ENREGISTREE,Commercialisé / AO,CATEX,750 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"131,00","81,90","218,86",40,
AMM ENREGISTREE,Commercialisé / AO,CATEX,750 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"470,00","312,00","297,98",41,
AMM ENREGISTREE,Non Commercialisé,CELLUVISC,"4 MG / 0,4 ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,PP,CARMELLOSE (SODIQUE),OPHTALMOLOGIE,AFRIC PHAR,"41,50","25,90","24,70",42,
AMM ENREGISTREE,Commercialisé,CETIRAL,1 MG / ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,"25,60","16,00","15,25",43,
AMM ENREGISTREE,Commercialisé,CETIRAL,10 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,AFRIC PHAR,"42,80","26,70","25,47",44,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"269,00","179,30","170,75",45,
AMM ENREGISTREE,Commercialisé,CHEMOSET,2 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"511,00","340,00","323,83",46,
AMM RETIREE,Rertiré du Marché,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"22,00","13,70","12,24",47,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"175,70","109,80","104,58",48,
AMM ENREGISTREE,Commercialisé / AO,CHEMOSET,4 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"91,60","57,20","54,52",49,
AMM RETIREE,Rertiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 1,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"39,00","24,30","21,70",50,
AMM ENREGISTREE,Commercialisé,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 10,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"333,00","221,00","211,37",51,
AMM RETIREE,Rertiré du Marché,CHEMOSET,8 MG,COMPRIME PELLICULE,BOITE DE 5,GN,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,AFRIC PHAR,"188,00","117,10","104,58",52,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,"0,05",CREME,TUBE DE 10 G,GN,ACICLOVIR,DERMATOLOGIE,AFRIC PHAR,"38,90","24,30","23,19",53,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,200 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"91,10","56,90","54,24",54,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,250 MG,POUDRE LYOPHILISEE + SOLVANT,BOITE DE 5 FLACONS,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"628,00","417,00","397,61",55,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400 MG / 5 ML,SUSPENSION BUVABLE,FLACON DE 100 ML,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"186,90","116,80","111,26",56,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,400 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"242,00","151,90","144,63",57,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800 MG,COMPRIME,BOITE DE 12,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"247,00","154,80","147,42",58,
AMM ENREGISTREE,Commercialisé,CICLOVIRAL,800 MG,COMPRIME,BOITE DE 25,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"469,00","312,00","297,34",59,
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",CREME,TUBE DE 30 G,GN,CLOTRIMAZOLE,DERMATOLOGIE,AFRIC PHAR,"27,70","17,30","16,52",60,
AMM ENREGISTREE,Commercialisé,CLOMITER,"0,01",SOLUTION TOPIQUE,FLACON DE 30 ML,GN,CLOTRIMAZOLE,DERMATOLOGIE,AFRIC PHAR,"27,00","16,90","16,08",61,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"69,50","43,40","41,39",62,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"134,50","83,00","79,96",63,
AMM RETIREE,Rertiré du Marché,CO-IRVEL,"150 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"39,50","24,70","23,52",64,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"85,00","53,10","50,60",65,
AMM ENREGISTREE,Commercialisé,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"158,00","98,70","94,05",66,
AMM RETIREE,Rertiré du Marché,CO-IRVEL,"300 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 7,GN,"IRBESARTAN
 // HYDROCHLOROTHIAZIDE",CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"42,50","26,50","25,29",67,
AMM ENREGISTREE,Commercialisé,COMBIGAN,2 MG / ML + 5 MG / ML,COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE) // TIMOLOL MALEATE,OPHTALMOLOGIE,AFRIC PHAR,"169,70","106,00","100,99",68,
AMM ENREGISTREE,Commercialisé / AO,CORTIVENT,250 µG / DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMOLOGIE,AFRIC PHAR,"86,50","54,00","51,48",69,
AMM ENREGISTREE,Commercialisé / AO,CORTIVENT,50 µG / DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,GN,BECLOMETHASONE,PNEUMOLOGIE,AFRIC PHAR,"55,00","34,40","32,74",70,
AMM ENREGISTREE,Non Commercialisé,CORTOFTAL,0,COLLYRE,FLACON DE 5 ML,PP,CLOBETASONE (BUTYRATE),OPHTALMOLOGIE,AFRIC PHAR,"22,90","14,30","13,63",71,
AMM ENREGISTREE,Non Commercialisé,COSMOFER,50 MG / ML,SOLUTION INJECTABLE IV-IM,BOITE DE 5 AMPOULE DE 2 ML,PP,HYDROXYDE (FERRIQUE),HEMATOLOGIE ET HEMOSTASE,AFRIC PHAR,"288,00","191,50","182,43",72,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"79,40","49,60","47,27",73,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"139,70","87,30","83,19",74,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 14,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"60,60","37,90","36,10",75,
AMM ENREGISTREE,Commercialisé,CO-TANZAAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"106,70","66,70","63,53",76,
AMM ENREGISTREE,Non Commercialisé,CUSICROM,"0,04",COLLYRE,FLACON DE 10 ML,GN,CROMOGLICATE DE SODIUM,OPHTALMOLOGIE,AFRIC PHAR,"34,60","21,60","20,58",77,
AMM ENREGISTREE,Non Commercialisé,CUSICROM NASALE,"0,04",SOLUTION NASALE,FLACON DE 15 ML,GN,CROMOGLICATE DE SODIUM,ALLERGOLOGIE,AFRIC PHAR,"34,30","21,40","20,42",78,
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,0025",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"32,60","20,40","19,41",79,
AMM ENREGISTREE,Non Commercialisé,CUSIMOLOL,"0,005",COLLYRE,FLACON DE 5 ML,GN,TIMOLOL (MALEATE),OPHTALMOLOGIE,AFRIC PHAR,"37,70","23,50","22,42",80,
AMM ENREGISTREE,Non Commercialisé,CUSIVIRAL,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",GN,ACICLOVIR,OPHTALMOLOGIE,AFRIC PHAR,"79,70","49,80","47,45",81,
AMM RETIREE,Rertiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 15 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"183,60","114,40","102,14",82,
AMM RETIREE,Rertiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 2 G,GN,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,"35,70","22,20","19,86",83,
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 15 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE,AFRIC PHAR,"19,10","11,90","11,35",84,
AMM ENREGISTREE,Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 30 G,GN,CLOBETASOL (PROPIONATE),DERMATOLOGIE,AFRIC PHAR,"28,60","17,90","17,02",85,
AMM ENREGISTREE,Commercialisé,DILOVAC,25 MG,COMPRIME SECABLE,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"72,80","45,50","43,33",86,
AMM ENREGISTREE,Commercialisé,DILOVAC,"6,25 MG",COMPRIME SECABLE,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"31,20","19,50","18,57",87,
AMM ENREGISTREE,Commercialisé,DIPICOR,10 MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"80,50","50,30","47,94",88,
AMM ENREGISTREE,Commercialisé,DIPICOR,10 MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"159,20","99,50","94,75",89,
AMM ENREGISTREE,Commercialisé,DIPICOR,5 MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"53,00","33,10","31,54",90,
AMM ENREGISTREE,Commercialisé,DIPICOR,5 MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,AFRIC PHAR,"99,00","61,90","58,93",91,
AMM ENREGISTREE,Commercialisé,DONA,1500 MG,POUDRE POUR SOLUTION ORAL,BOITE DE 30 SACHETS,GN,GLUCOSAMINE (SULFATE),RHUMATOLOGIE,AFRIC PHAR,"129,90","81,20","77,33",92,
AMM ENREGISTREE,Commercialisé,DOXICAN,20 MG,GELULE,BOITE DE 10,GN,TENOXICAM,ANTI-INFLAMMATOIRES,AFRIC PHAR,"41,10","25,70","24,49",93,
AMM ENREGISTREE,Commercialisé,DOXICAN,20 MG,GELULE,BOITE DE 20,GN,TENOXICAM,ANTI-INFLAMMATOIRES,AFRIC PHAR,"72,40","45,20","43,10",94,
AMM ENREGISTREE,Non Commercialisé,DOXICAN,20 MG,SUPPOSITOIRE,BOITE DE 6,GN,TENOXICAM,ANTI-INFLAMMATOIRES,AFRIC PHAR,"37,40","23,40","22,25",95,
AMM ENREGISTREE,Non Commercialisé,ELEBLOC,"0,01",COLLYRE,FLACON DE 5 ML,GN,CARTEOLOL (CHLORHYDRATE),OPHTALMOLOGIE,AFRIC PHAR,"35,40","22,10","21,08",96,
AMM ENREGISTREE,Non Commercialisé,ELEBLOC,"0,02",COLLYRE,FLACON DE 5 ML,GN,CARTEOLOL (CHLORHYDRATE),OPHTALMOLOGIE,AFRIC PHAR,"37,70","23,50","22,42",97,
AMM RETIREE,Rertiré du Marché,ELLEACNELLE,"2 MG / 0,035 MG",COMPRIME,BOITE DE 21,GN,CYPROTERONE (ACETATE) // ETHINYLESTRADIOL,GYNECOLOGIE,AFRIC PHAR,"36,50","22,70","20,30",98,
AMM ENREGISTREE,Commercialisé,EUCARBON,180 MG / 25 MG / 105 MG / 25 MG,COMPRIME,BOITE DE 30,PP,CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"29,90","18,70","17,80",99,
AMM ENREGISTREE,Commercialisé,EUCARBON,180 MG / 25 MG / 105 MG / 50 MG,COMPRIME,BOITE DE 100,PP,CHARBON VEGETAL // EXTRAIT DE RHUBARBE // FEUILLES DE SENE // SOUFRE,GASTRO-ENTEROLOGIE,AFRIC PHAR,"85,00","53,10","50,62",100,
AMM ENREGISTREE,Non Commercialisé,EXOCINE,"0,003",COLLYRE,FLACON DE 5 ML,PP,OFLOXACINE,OPHTALMOLOGIE,AFRIC PHAR,"37,70","23,60","22,47",101,
AMM ENREGISTREE,Commercialisé / AO,FEIBA,1000 UI / 20 ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),PP,FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII,HEMATOLOGIE ET HEMOSTASE,AFRIC PHAR,"6472,00","6251,00","5953,72",102,
AMM ENREGISTREE,Commercialisé / AO,FEIBA,500 UI / 20 ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),PP,FACTEURS DE COAGULATION AYANT ACTIVITE COURT-CIRCUITANT L'INHIBITEUR DU FACTEUR VIII,HEMATOLOGIE ET HEMOSTASE,AFRIC PHAR,"3435,00","3124,00","2975,52",103,
AMM ENREGISTREE,Commercialisé / AO,FERRIPROX,100 MG / ML,SOLUTION ORALE,FLACON DE 500 ML,PP,DEFERIPRONE,TOXICOLOGIE,AFRIC PHAR,"1388,00","1120,00","1067,47",104,
AMM ENREGISTREE,Commercialisé,FERRIPROX,500 MG,COMPRIME PELLICULE,BOITE DE 100,PP,DEFERIPRONE,TOXICOLOGIE,AFRIC PHAR,"2384,00","2042,00","1945,32",105,
AMM ENREGISTREE,Commercialisé,FLAMIX,15 MG,COMPRIME,BOITE DE 14,GN,MELOXICAM,ANTI-INFLAMMATOIRES,AFRIC PHAR,"56,90","35,60","33,88",106,
AMM ENREGISTREE,Commercialisé,FLAMIX,"7,5 MG",COMPRIME,BOITE DE 14,GN,MELOXICAM,ANTI-INFLAMMATOIRES,AFRIC PHAR,"33,80","21,10","20,14",107,
AMM ENREGISTREE,Non Commercialisé,FLOXIL,500 MG,GELULE,BOITE DE 16,GN,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"74,10","46,30","44,11",108,
AMM ENREGISTREE,Non Commercialisé,FLOXIL,500 MG,GELULE,BOITE DE 24,GN,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"105,90","66,20","63,03",109,
